tags: darakwon 11-과

[sound:결혼식.mp3]	결혼식	cérémonie de mariage
[sound:살았어요.mp3]	살았어요 <span class="발음">[사라써요]</span><div class="활용"><div class="bloc"><div class="부정사">살다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">살아요</div><div class="과거">살았어요</div><div class="미래">살 거예요</div></div><div class="bloc"><div class="고">살고</div><div class="지만">살지만</div><div class="는데">사는데</div><div class="면">살면</div></div></div>	il vivait, habitait, demeurait, résidait<p class="small">(해요체, registre informel poli)</p>
[sound:살_거예요-2.mp3]	살 거예요<div class="활용"><div class="bloc"><div class="부정사">살다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">살아요</div><div class="과거">살았어요</div><div class="미래">살 거예요</div></div><div class="bloc"><div class="고">살고</div><div class="지만">살지만</div><div class="는데">사는데</div><div class="면">살면</div></div></div>	il vivra, habitera, demeurera, résidera<p class="small">(해요체, registre informel poli)</p><ul><li>Homographe&nbsp;: 살 거예요 (il achètera)</li><li>Attention à ne pas confondre [살] avec [쌀]&nbsp;: 쌀 거예요 (il ne sera pas cher, il sera bon marché)</li></ul>

[sound:세일해요.mp3]	세일해요<div class="활용"><div class="bloc"><div class="부정사">세일하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">세일해요</div><div class="과거">세일했어요</div><div class="미래">세일할 거예요</div></div><div class="bloc"><div class="고">세일하고</div><div class="지만">세일하지만</div><div class="는데">세일하는데</div><div class="면">세일하면</div></div></div>	il solde, il démarque, il brade<p class="small">(해요체, registre informel poli)</p>
[sound:세일했어요.mp3]	세일했어요<div class="활용"><div class="bloc"><div class="부정사">세일하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">세일해요</div><div class="과거">세일했어요</div><div class="미래">세일할 거예요</div></div><div class="bloc"><div class="고">세일하고</div><div class="지만">세일하지만</div><div class="는데">세일하는데</div><div class="면">세일하면</div></div></div>	il soldait, il démarquait, il bradait<p class="small">(해요체, registre informel poli)</p>
[sound:세일할_거예요.mp3]	세일할 거예요<div class="활용"><div class="bloc"><div class="부정사">세일하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">세일해요</div><div class="과거">세일했어요</div><div class="미래">세일할 거예요</div></div><div class="bloc"><div class="고">세일하고</div><div class="지만">세일하지만</div><div class="는데">세일하는데</div><div class="면">세일하면</div></div></div>	il soldera, il démarquera, il bradera<p class="small">(해요체, registre informel poli)</p>

[sound:소개해요.mp3]	소개해요<div class="활용"><div class="bloc"><div class="부정사">소개하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">소개해요</div><div class="과거">소개했어요</div><div class="미래">소개할 거예요</div></div><div class="bloc"><div class="고">소개하고</div><div class="지만">소개하지만</div><div class="는데">소개하는데</div><div class="면">소개하면</div></div></div>	il présente, il introduit (qq'un)<p class="small">(해요체, registre informel poli)</p>
[sound:소개했어요.mp3]	소개했어요<div class="활용"><div class="bloc"><div class="부정사">소개하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">소개해요</div><div class="과거">소개했어요</div><div class="미래">소개할 거예요</div></div><div class="bloc"><div class="고">소개하고</div><div class="지만">소개하지만</div><div class="는데">소개하는데</div><div class="면">소개하면</div></div></div>	il présentait, il introduisait (qq'un)<p class="small">(해요체, registre informel poli)</p>
[sound:소개할_거예요.mp3]	소개할 거예요<div class="활용"><div class="bloc"><div class="부정사">소개하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">소개해요</div><div class="과거">소개했어요</div><div class="미래">소개할 거예요</div></div><div class="bloc"><div class="고">소개하고</div><div class="지만">소개하지만</div><div class="는데">소개하는데</div><div class="면">소개하면</div></div></div>	il présentera, il introduira (qq'un)<p class="small">(해요체, registre informel poli)</p>

[sound:쇼핑해요.mp3]	쇼핑해요<div class="활용"><div class="bloc"><div class="부정사">쇼핑하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">쇼핑해요</div><div class="과거">쇼핑했어요</div><div class="미래">쇼핑할 거예요</div></div><div class="bloc"><div class="고">쇼핑하고</div><div class="지만">쇼핑하지만</div><div class="는데">쇼핑하는데</div><div class="면">쇼핑하면</div></div></div>	il fait du shopping<p class="small">(해요체, registre informel poli)</p>
[sound:쇼핑했어요.mp3]	쇼핑했어요<div class="활용"><div class="bloc"><div class="부정사">쇼핑하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">쇼핑해요</div><div class="과거">쇼핑했어요</div><div class="미래">쇼핑할 거예요</div></div><div class="bloc"><div class="고">쇼핑하고</div><div class="지만">쇼핑하지만</div><div class="는데">쇼핑하는데</div><div class="면">쇼핑하면</div></div></div>	il faisait du shopping<p class="small">(해요체, registre informel poli)</p>
[sound:쇼핑할_거예요.mp3]	쇼핑할 거예요<div class="활용"><div class="bloc"><div class="부정사">쇼핑하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">쇼핑해요</div><div class="과거">쇼핑했어요</div><div class="미래">쇼핑할 거예요</div></div><div class="bloc"><div class="고">쇼핑하고</div><div class="지만">쇼핑하지만</div><div class="는데">쇼핑하는데</div><div class="면">쇼핑하면</div></div></div>	il fera du shopping<p class="small">(해요체, registre informel poli)</p>

[sound:수영해요.mp3]	수영해요<div class="활용"><div class="bloc"><div class="부정사">수영하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">수영해요</div><div class="과거">수영했어요</div><div class="미래">수영할 거예요</div></div><div class="bloc"><div class="고">수영하고</div><div class="지만">수영하지만</div><div class="는데">수영하는데</div><div class="면">수영하면</div></div></div>	il nage<p class="small">(해요체, registre informel poli)</p>
[sound:수영했어요.mp3]	수영했어요<div class="활용"><div class="bloc"><div class="부정사">수영하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">수영해요</div><div class="과거">수영했어요</div><div class="미래">수영할 거예요</div></div><div class="bloc"><div class="고">수영하고</div><div class="지만">수영하지만</div><div class="는데">수영하는데</div><div class="면">수영하면</div></div></div>	il nageait<p class="small">(해요체, registre informel poli)</p>
[sound:수영할_거예요.mp3]	수영할 거예요<div class="활용"><div class="bloc"><div class="부정사">수영하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">수영해요</div><div class="과거">수영했어요</div><div class="미래">수영할 거예요</div></div><div class="bloc"><div class="고">수영하고</div><div class="지만">수영하지만</div><div class="는데">수영하는데</div><div class="면">수영하면</div></div></div>	il nagera<p class="small">(해요체, registre informel poli)</p>

[sound:쉬어요.mp3]	쉬어요<div class="활용"><div class="bloc"><div class="부정사">쉬다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">쉬어요</div><div class="과거">쉬었어요</div><div class="미래">쉴 거예요</div></div><div class="bloc"><div class="고">쉬고</div><div class="지만">쉬지만</div><div class="는데">쉬는데</div><div class="면">쉬면</div></div></div>	il se repose<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre [쉬어] avec [쉬워]&nbsp;: 쉬워요 (il est facile)</li></ul>
[sound:쉬었어요.mp3]	쉬었어요<div class="활용"><div class="bloc"><div class="부정사">쉬다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">쉬어요</div><div class="과거">쉬었어요</div><div class="미래">쉴 거예요</div></div><div class="bloc"><div class="고">쉬고</div><div class="지만">쉬지만</div><div class="는데">쉬는데</div><div class="면">쉬면</div></div></div>	il se reposait<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre [쉬었] avec [쉬웠]&nbsp;: 쉬웠어요 (il était facile)</li></ul>
[sound:쉴_거예요.mp3]	쉴 거예요<div class="활용"><div class="bloc"><div class="부정사">쉬다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">쉬어요</div><div class="과거">쉬었어요</div><div class="미래">쉴 거예요</div></div><div class="bloc"><div class="고">쉬고</div><div class="지만">쉬지만</div><div class="는데">쉬는데</div><div class="면">쉬면</div></div></div>	il se reposera<p class="small">(해요체, registre informel poli)</p>

[sound:쉬워요.mp3]	쉬<span class="불규칙">워</span>요<p class="small">(*쉬<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">쉽다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">쉬워요</div><div class="과거">쉬웠어요</div><div class="미래">쉬울 거예요</div></div><div class="bloc"><div class="고">쉽고</div><div class="지만">쉽지만</div><div class="는데">쉬운데</div><div class="면">쉬우면</div></div></div>	il est facile<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre [쉬워] avec [쉬어]&nbsp;: 쉬어요 (il se repose)</li></ul>
[sound:쉬웠어요.mp3]	쉬<span class="불규칙">웠</span>어요<p class="small">(*쉬<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">쉽다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">쉬워요</div><div class="과거">쉬웠어요</div><div class="미래">쉬울 거예요</div></div><div class="bloc"><div class="고">쉽고</div><div class="지만">쉽지만</div><div class="는데">쉬운데</div><div class="면">쉬우면</div></div></div>	il était facile<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre [쉬웠] avec [쉬었]&nbsp;: 쉬었어요 (il se reposait)</li></ul>
[sound:쉬울_거예요.mp3]	쉬<span class="불규칙">울</span> 거예요<p class="small">(*쉬<span class="불규칙">우을</span> 거예요)</p><div class="활용"><div class="bloc"><div class="부정사">쉽다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">쉬워요</div><div class="과거">쉬웠어요</div><div class="미래">쉬울 거예요</div></div><div class="bloc"><div class="고">쉽고</div><div class="지만">쉽지만</div><div class="는데">쉬운데</div><div class="면">쉬우면</div></div></div>	il sera facile<p class="small">(해요체, registre informel poli)</p>

[sound:시작해요.mp3]	시작해요 <span class="발음">[시자<span style="font-weight: bold">캐</span>요]</span><div class="활용"><div class="bloc"><div class="부정사">시작하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">시작해요</div><div class="과거">시작했어요</div><div class="미래">시작할 거예요</div></div><div class="bloc"><div class="고">시작하고</div><div class="지만">시작하지만</div><div class="는데">시작하는데</div><div class="면">시작하면</div></div></div>	il commence<p class="small">(해요체, registre informel poli)</p>
[sound:시작했어요.mp3]	시작했어요<p class="발음">[시자<span style="font-weight: bold">캐</span>써요]</p><div class="활용"><div class="bloc"><div class="부정사">시작하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">시작해요</div><div class="과거">시작했어요</div><div class="미래">시작할 거예요</div></div><div class="bloc"><div class="고">시작하고</div><div class="지만">시작하지만</div><div class="는데">시작하는데</div><div class="면">시작하면</div></div></div>	il commençait<p class="small">(해요체, registre informel poli)</p>
[sound:시작할_거예요.mp3]	시작할 거예요<p class="발음">[시자<span style="font-weight: bold">칼</span>]</p><div class="활용"><div class="bloc"><div class="부정사">시작하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">시작해요</div><div class="과거">시작했어요</div><div class="미래">시작할 거예요</div></div><div class="bloc"><div class="고">시작하고</div><div class="지만">시작하지만</div><div class="는데">시작하는데</div><div class="면">시작하면</div></div></div>	il commencera<p class="small">(해요체, registre informel poli)</p>

[sound:싸요.mp3]	<span class="불규칙">싸</span>요<p class="small">(*<span class="불규칙">싸아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">싸다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">싸요</div><div class="과거">쌌어요</div><div class="미래">쌀 거예요</div></div><div class="bloc"><div class="고">싸고</div><div class="지만">싸지만</div><div class="는데">싼데</div><div class="면">싸면</div></div></div>	il n'est pas cher, il est bon marché<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre [싸] avec [사]&nbsp;: 사요 (il achète)</li></ul>
[sound:쌌어요.mp3]	<span class="불규칙">쌌</span>어요<p class="small">(*<span class="불규칙">싸았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">싸다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">싸요</div><div class="과거">쌌어요</div><div class="미래">쌀 거예요</div></div><div class="bloc"><div class="고">싸고</div><div class="지만">싸지만</div><div class="는데">싼데</div><div class="면">싸면</div></div></div>	il n'était pas cher, il était bon marché<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre [쌌] avec [샀]&nbsp;: 샀어요 (il achetait)</li></ul>
[sound:쌀_거예요.mp3]	쌀 거예요<div class="활용"><div class="bloc"><div class="부정사">싸다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">싸요</div><div class="과거">쌌어요</div><div class="미래">쌀 거예요</div></div><div class="bloc"><div class="고">싸고</div><div class="지만">싸지만</div><div class="는데">싼데</div><div class="면">싸면</div></div></div>	il ne sera pas cher, il sera bon marché<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre [쌀] avec [살]&nbsp;: 살 거예요 (il achètera&nbsp;; il vivra, habitera)</li></ul>

[sound:써요.mp3]	<span class="불규칙">써</span>요<p class="small">(*<span class="불규칙">ㅆ어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">쓰다</div><div class="불규칙">(“으” 불규칙 동사)</div></div><div class="bloc"><div class="현재">써요</div><div class="과거">썼어요</div><div class="미래">쓸 거예요</div><div class="명령법">쓰세요</div></div><div class="bloc"><div class="고">쓰고</div><div class="지만">쓰지만</div><div class="는데">쓰는데</div><div class="면">쓰면</div></div></div>	il écrit<p class="small">(해요체, registre informel poli)</p>
[sound:썼어요.mp3]	<span class="불규칙">썼</span>어요 <span class="발음">[써써요]</span><p class="small">(*<span class="불규칙">ㅆ었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">쓰다</div><div class="불규칙">(“으” 불규칙 동사)</div></div><div class="bloc"><div class="현재">써요</div><div class="과거">썼어요</div><div class="미래">쓸 거예요</div><div class="명령법">쓰세요</div></div><div class="bloc"><div class="고">쓰고</div><div class="지만">쓰지만</div><div class="는데">쓰는데</div><div class="면">쓰면</div></div></div>	il écrivait<p class="small">(해요체, registre informel poli)</p>
[sound:쓸_거예요.mp3]	쓸 거예요<div class="활용"><div class="bloc"><div class="부정사">쓰다</div><div class="불규칙">(“으” 불규칙 동사)</div></div><div class="bloc"><div class="현재">써요</div><div class="과거">썼어요</div><div class="미래">쓸 거예요</div><div class="명령법">쓰세요</div></div><div class="bloc"><div class="고">쓰고</div><div class="지만">쓰지만</div><div class="는데">쓰는데</div><div class="면">쓰면</div></div></div>	il écrira<p class="small">(해요체, registre informel poli)</p>

[sound:씻어요.mp3]	씻어요 <span class="발음">[씨서요]</span><div class="활용"><div class="bloc"><div class="부정사">씻다</div><div class="불규칙">(규칙 동사)</div></div><div class="bloc"><div class="현재">씻어요</div><div class="과거">씻었어요</div><div class="미래">씻을 거예요</div></div><div class="bloc"><div class="고">씻고</div><div class="지만">씻지만</div><div class="는데">씻는데</div><div class="면">씻으면</div></div></div>	il se lave<p class="small">(해요체, registre informel poli)</p>
[sound:씻었어요.mp3]	씻었어요 <span class="발음">[씨서써요]</span><div class="활용"><div class="bloc"><div class="부정사">씻다</div><div class="불규칙">(규칙 동사)</div></div><div class="bloc"><div class="현재">씻어요</div><div class="과거">씻었어요</div><div class="미래">씻을 거예요</div></div><div class="bloc"><div class="고">씻고</div><div class="지만">씻지만</div><div class="는데">씻는데</div><div class="면">씻으면</div></div></div>	il se lavait<p class="small">(해요체, registre informel poli)</p>
[sound:씻을_거예요.mp3]	씻을 거예요 <span class="발음">[씨슬]</span><div class="활용"><div class="bloc"><div class="부정사">씻다</div><div class="불규칙">(규칙 동사)</div></div><div class="bloc"><div class="현재">씻어요</div><div class="과거">씻었어요</div><div class="미래">씻을 거예요</div></div><div class="bloc"><div class="고">씻고</div><div class="지만">씻지만</div><div class="는데">씻는데</div><div class="면">씻으면</div></div></div>	il se lavera<p class="small">(해요체, registre informel poli)</p>

[sound:아르바이트해요.mp3]	아르바이트해요<div class="활용"><div class="bloc"><div class="부정사">아르바이트하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">아르바이트해요</div><div class="과거">아르바이트했어요</div><div class="미래">아르바이트할 거예요</div></div><div class="bloc"><div class="고">아르바이트하고</div><div class="지만">아르바이트하지만</div><div class="는데">아르바이트하는데</div><div class="면">아르바이트하면</div></div></div>	il fait un petit boulot, il travaille à temps partiel<p class="small">(해요체, registre informel poli)</p>
[sound:아르바이트했어요.mp3]	아르바이트했어요<div class="활용"><div class="bloc"><div class="부정사">아르바이트하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">아르바이트해요</div><div class="과거">아르바이트했어요</div><div class="미래">아르바이트할 거예요</div></div><div class="bloc"><div class="고">아르바이트하고</div><div class="지만">아르바이트하지만</div><div class="는데">아르바이트하는데</div><div class="면">아르바이트하면</div></div></div>	il faisait un petit boulot, il travaillait à temps partiel<p class="small">(해요체, registre informel poli)</p>
[sound:아르바이트할_거예요.mp3]	아르바이트할 거예요<div class="활용"><div class="bloc"><div class="부정사">아르바이트하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">아르바이트해요</div><div class="과거">아르바이트했어요</div><div class="미래">아르바이트할 거예요</div></div><div class="bloc"><div class="고">아르바이트하고</div><div class="지만">아르바이트하지만</div><div class="는데">아르바이트하는데</div><div class="면">아르바이트하면</div></div></div>	il fera un petit boulot, il travaillera à temps partiel<p class="small">(해요체, registre informel poli)</p>

[sound:아름다워요.mp3]	아름다<span class="불규칙">워</span>요<p class="small">(*아름다<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">아름답다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">아름다워요</div><div class="과거">아름다웠어요</div><div class="미래">아름다울 거예요</div></div><div class="bloc"><div class="고">아름답고</div><div class="지만">아름답지만</div><div class="는데">아름다운데</div><div class="면">아름다우면</div></div></div>	il est beau<p class="small">(해요체, registre informel poli)</p>
[sound:아름다웠어요.mp3]	아름다<span class="불규칙">웠</span>어요<p class="small">(*아름다<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">아름답다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">아름다워요</div><div class="과거">아름다웠어요</div><div class="미래">아름다울 거예요</div></div><div class="bloc"><div class="고">아름답고</div><div class="지만">아름답지만</div><div class="는데">아름다운데</div><div class="면">아름다우면</div></div></div>	il était beau<p class="small">(해요체, registre informel poli)</p>
[sound:아름다울_거예요.mp3]	아름다<span class="불규칙">울</span> 거예요<p class="small">(*아름다<span class="불규칙">우을</span> 거예요)</p><div class="활용"><div class="bloc"><div class="부정사">아름답다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">아름다워요</div><div class="과거">아름다웠어요</div><div class="미래">아름다울 거예요</div></div><div class="bloc"><div class="고">아름답고</div><div class="지만">아름답지만</div><div class="는데">아름다운데</div><div class="면">아름다우면</div></div></div>	il sera beau<p class="small">(해요체, registre informel poli)</p>

[sound:알아요.mp3]	알아요 <span class="발음">[아라요]</span><div class="활용"><div class="bloc"><div class="부정사">알다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">알아요</div><div class="과거">알았어요</div><div class="미래">알 거예요</div></div><div class="bloc"><div class="고">알고</div><div class="지만">알지만</div><div class="는데">아는데</div><div class="면">알면</div></div></div>	il sait, il connaît<p class="small">(해요체, registre informel poli)</p>
[sound:알았어요.mp3]	알았어요 <span class="발음">[아라써요]</span><div class="활용"><div class="bloc"><div class="부정사">알다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">알아요</div><div class="과거">알았어요</div><div class="미래">알 거예요</div></div><div class="bloc"><div class="고">알고</div><div class="지만">알지만</div><div class="는데">아는데</div><div class="면">알면</div></div></div>	il savait, il connaissait<p class="small">(해요체, registre informel poli)</p>
[sound:알_거예요.mp3]	알 거예요<div class="활용"><div class="bloc"><div class="부정사">알다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">알아요</div><div class="과거">알았어요</div><div class="미래">알 거예요</div></div><div class="bloc"><div class="고">알고</div><div class="지만">알지만</div><div class="는데">아는데</div><div class="면">알면</div></div></div>	il saura, il connaîtra<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre [알] avec [할]&nbsp;: 할 거예요 (il fera)</li></ul>

[sound:어때요.mp3]	어<span class="불규칙">때</span>요<div class="활용"><div class="bloc"><div class="부정사">어떻다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">어때요</div><div class="과거">어땠어요</div><div class="미래">어떨 거예요</div></div><div class="bloc"><div class="고">어떻고</div><div class="지만">어떻지만</div><div class="는데">어떤데</div><div class="면">어떠면</div></div></div>	il est dans quel état&nbsp;? il est comment&nbsp;?<p class="small">(해요체, registre informel poli)</p>
[sound:어땠어요.mp3]	어<span class="불규칙">땠</span>어요<div class="활용"><div class="bloc"><div class="부정사">어떻다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">어때요</div><div class="과거">어땠어요</div><div class="미래">어떨 거예요</div></div><div class="bloc"><div class="고">어떻고</div><div class="지만">어떻지만</div><div class="는데">어떤데</div><div class="면">어떠면</div></div></div>	il était dans quel état&nbsp;? il était comment&nbsp;?<p class="small">(해요체, registre informel poli)</p>
[sound:어떨_거예요.mp3]	어<span class="불규칙">떨</span> 거예요<div class="활용"><div class="bloc"><div class="부정사">어떻다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">어때요</div><div class="과거">어땠어요</div><div class="미래">어떨 거예요</div></div><div class="bloc"><div class="고">어떻고</div><div class="지만">어떻지만</div><div class="는데">어떤데</div><div class="면">어떠면</div></div></div>	il sera dans quel état&nbsp;? il sera comment&nbsp;?<p class="small">(해요체, registre informel poli)</p>

[sound:어려워요.mp3]	어려<span class="불규칙">워</span>요<p class="small">(*어려<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">어렵다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">어려워요</div><div class="과거">어려웠어요</div><div class="미래">어려울 거예요</div></div><div class="bloc"><div class="고">어렵고</div><div class="지만">어렵지만</div><div class="는데">어려운데</div><div class="면">어려우면</div></div></div>	il est difficile, dur<p class="small">(해요체, registre informel poli)</p>
[sound:어려웠어요.mp3]	어려<span class="불규칙">웠</span>어요<p class="small">(*어려<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">어렵다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">어려워요</div><div class="과거">어려웠어요</div><div class="미래">어려울 거예요</div></div><div class="bloc"><div class="고">어렵고</div><div class="지만">어렵지만</div><div class="는데">어려운데</div><div class="면">어려우면</div></div></div>	il était difficile, dur<p class="small">(해요체, registre informel poli)</p>
[sound:어려울_거예요.mp3]	어려<span class="불규칙">울</span> 거예요<p class="small">(*어려<span class="불규칙">우을</span> 거예요)</p><div class="활용"><div class="bloc"><div class="부정사">어렵다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">어려워요</div><div class="과거">어려웠어요</div><div class="미래">어려울 거예요</div></div><div class="bloc"><div class="고">어렵고</div><div class="지만">어렵지만</div><div class="는데">어려운데</div><div class="면">어려우면</div></div></div>	il sera difficile, dur<p class="small">(해요체, registre informel poli)</p>

[sound:예쁘다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">예쁘다</div><div class="불규칙">(“으” 불규칙 형용사)</div></div></div>	être joli<ul><li>adjectif irrégulier en “으”&nbsp;: ㅡ disparaît devant voyelle</li></ul>
[sound:예뻐요.mp3]	예<span class="불규칙">뻐</span>요<p class="small">(*예<span class="불규칙">ㅃ어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">예쁘다</div><div class="불규칙">(“으” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">예뻐요</div><div class="과거">예뻤어요</div><div class="미래">예쁠 거예요</div></div><div class="bloc"><div class="고">예쁘고</div><div class="지만">예쁘지만</div><div class="는데">예쁜데</div><div class="면">예쁘면</div></div></div>	il est joli<p class="small">(해요체, registre informel poli)</p>
[sound:예뻤어요.mp3]	예<span class="불규칙">뻤</span>어요<p class="small">(*예<span class="불규칙">ㅃ었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">예쁘다</div><div class="불규칙">(“으” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">예뻐요</div><div class="과거">예뻤어요</div><div class="미래">예쁠 거예요</div></div><div class="bloc"><div class="고">예쁘고</div><div class="지만">예쁘지만</div><div class="는데">예쁜데</div><div class="면">예쁘면</div></div></div>	il était joli<p class="small">(해요체, registre informel poli)</p>
[sound:예쁠_거예요.mp3]	예쁠 거예요<div class="활용"><div class="bloc"><div class="부정사">예쁘다</div><div class="불규칙">(“으” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">예뻐요</div><div class="과거">예뻤어요</div><div class="미래">예쁠 거예요</div></div><div class="bloc"><div class="고">예쁘고</div><div class="지만">예쁘지만</div><div class="는데">예쁜데</div><div class="면">예쁘면</div></div></div>	il sera joli<p class="small">(해요체, registre informel poli)</p>

[sound:와요.mp3]	<span class="불규칙">와</span>요<p class="small">(*<span class="불규칙">오아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">오다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">와요</div><div class="과거">왔어요</div><div class="미래">올 거예요</div><div class="명령법">오세요</div></div><div class="bloc"><div class="고">오고</div><div class="지만">오지만</div><div class="는데">오는데</div><div class="면">오면</div></div></div>	il vient<p class="small">(해요체, registre informel poli)</p>
[sound:왔어요.mp3]	<span class="불규칙">왔</span>어요 <span class="발음">[와써요]</span><p class="small">(*<span class="불규칙">오았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">오다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">와요</div><div class="과거">왔어요</div><div class="미래">올 거예요</div><div class="명령법">오세요</div></div><div class="bloc"><div class="고">오고</div><div class="지만">오지만</div><div class="는데">오는데</div><div class="면">오면</div></div></div>	il venait<p class="small">(해요체, registre informel poli)</p>
[sound:올_거예요.mp3]	올 거예요<div class="활용"><div class="bloc"><div class="부정사">오다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">와요</div><div class="과거">왔어요</div><div class="미래">올 거예요</div><div class="명령법">오세요</div></div><div class="bloc"><div class="고">오고</div><div class="지만">오지만</div><div class="는데">오는데</div><div class="면">오면</div></div></div>	il viendra<p class="small">(해요체, registre informel poli)</p>

[sound:완성해요.mp3]	완성해요<div class="활용"><div class="bloc"><div class="부정사">완성하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">완성해요</div><div class="과거">완성했어요</div><div class="미래">완성할 거예요</div><div class="명령법">완성하세요</div></div><div class="bloc"><div class="고">완성하고</div><div class="지만">완성하지만</div><div class="는데">완성하는데</div><div class="면">완성하면</div></div></div>	il achève, finit, termine<p class="small">(해요체, registre informel poli)</p>
