tags: darakwon 16-과

[sound:색.mp3]	색<ul><span style="color:black">&#9633;</span>&nbsp;하얀색 / 흰색<br><span style="color:yellow">&#9632;</span>&nbsp;노란색<br><span style="color:green">&#9632;</span>&nbsp;녹색<br><span style="color:blue">&#9632;</span>&nbsp;파란색<br><span style="color:red">&#9632;</span>&nbsp;빨간색<br><span style="color:pink">&#9632;</span>&nbsp;분홍색<br><span style="color:orange">&#9632;</span>&nbsp;주황색<br><span style="color:purple">&#9632;</span>&nbsp;보라색<br><span style="color:brown">&#9632;</span>&nbsp;갈색<br><span style="color:grey">&#9632;</span>&nbsp;회색<br><span style="color:black">&#9632;</span>&nbsp;까만색 / 검은색</ul>	couleur
[sound:장갑.mp3]	장갑<span class="small light">을 끼다</span>	gants <span class="small light">/ porter</span><p class="small">(옷: vêtement)</p><ul><li>장갑 세 <span class="em">켤레</span> (3 paires de gants)</li></ul>
[sound:반지.mp3]	반지<span class="small light">를 끼다</span>	bague <span class="small light">/ porter</span><p class="small">(litt. “demi (반) doigt (지)”)</p>
[sound:콘택트_렌즈.mp3]	(콘택트) 렌즈<span class="small light">를 끼다</span>	lentilles (de contact) <span class="small light">/ porter</span><p class="small">(angl. “contact lens”)</p>


[sound:차다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">차다</div><div class="불규칙">(동사)</div></div></div><ul><li>시계를 차다</li><li>팔찌를 차다</li><li>수갑을 차다</li><li>허리띠를 차다 / 벨트를 차다</li></ul>	donner un coup de pied<hr/>porter, mettre<p class="small">(aux poignets - 손목 / aux chevilles - 발목)</p><ul><li>verbe régulier</li><br><li>une montre (시계)</li><li>un bracelet (팔찌)</li><li>des menottes (수갑)</li></ul><ul>Mais aussi&nbsp;:<li>une ceinture (허리띠 / 벨트)</li></ul>
[sound:찹니다.mp3]	찹니다 <span class="발음">[<span style="font-weight: bold">참</span>니다]</span><hr/>차십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">차다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">차십니다</div>찹니다</div><div class="해요체"><div class="높임">차세요</div>차요</div></div><div class="과거"><div class="하십시오체"><div class="높임">차셨습니다</div>찼습니다</div><div class="해요체"><div class="높임">차셨어요</div>찼어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">차실 겁니다</div>찰 겁니다</div><div class="해요체"><div class="높임">차실 거예요</div>찰 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">차시고</div>차고</div><div class="지만"><div class="높임">차시지만</div>차지만</div><div class="는데"><div class="높임">차시는데</div>차는데</div><div class="면"><div class="높임">차시면</div>차면</div><div class="서"><div class="높임">차셔서</div>차서</div></div></div>	il donne un coup de pied<hr/>il porte <span class="small">(aux poignets, aux chevilles)</span><p class="small">(하십시오체, registre formel poli)</p>
[sound:차요.mp3]	<span class="불규칙">차</span>요<p class="small">(*<span class="불규칙">차아</span>요)</p><hr/>차세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">차다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">차십니다</div>찹니다</div><div class="해요체"><div class="높임">차세요</div>차요</div></div><div class="과거"><div class="하십시오체"><div class="높임">차셨습니다</div>찼습니다</div><div class="해요체"><div class="높임">차셨어요</div>찼어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">차실 겁니다</div>찰 겁니다</div><div class="해요체"><div class="높임">차실 거예요</div>찰 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">차시고</div>차고</div><div class="지만"><div class="높임">차시지만</div>차지만</div><div class="는데"><div class="높임">차시는데</div>차는데</div><div class="면"><div class="높임">차시면</div>차면</div><div class="서"><div class="높임">차셔서</div>차서</div></div></div>	il donne un coup de pied<hr/>il porte <span class="small">(aux poignets, aux chevilles)</span><p class="small">(해요체, registre informel poli)</p>
[sound:찼어요.mp3]	<span class="불규칙">찼</span>어요 <span class="발음">[차써요]</span><p class="small">(*<span class="불규칙">차았</span>어요)</p><hr/>차셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">차다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">차십니다</div>찹니다</div><div class="해요체"><div class="높임">차세요</div>차요</div></div><div class="과거"><div class="하십시오체"><div class="높임">차셨습니다</div>찼습니다</div><div class="해요체"><div class="높임">차셨어요</div>찼어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">차실 겁니다</div>찰 겁니다</div><div class="해요체"><div class="높임">차실 거예요</div>찰 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">차시고</div>차고</div><div class="지만"><div class="높임">차시지만</div>차지만</div><div class="는데"><div class="높임">차시는데</div>차는데</div><div class="면"><div class="높임">차시면</div>차면</div><div class="서"><div class="높임">차셔서</div>차서</div></div></div>	il donnait un coup de pied<hr/>il portait <span class="small">(aux poignets, aux chevilles)</span><p class="small">(해요체, registre informel poli)</p>
[sound:찰_거예요.mp3]	찰 거예요<hr/>차실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">차다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">차십니다</div>찹니다</div><div class="해요체"><div class="높임">차세요</div>차요</div></div><div class="과거"><div class="하십시오체"><div class="높임">차셨습니다</div>찼습니다</div><div class="해요체"><div class="높임">차셨어요</div>찼어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">차실 겁니다</div>찰 겁니다</div><div class="해요체"><div class="높임">차실 거예요</div>찰 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">차시고</div>차고</div><div class="지만"><div class="높임">차시지만</div>차지만</div><div class="는데"><div class="높임">차시는데</div>차는데</div><div class="면"><div class="높임">차시면</div>차면</div><div class="서"><div class="높임">차셔서</div>차서</div></div></div>	il donnera un coup de pied<hr/>il portera <span class="small">(aux poignets, aux chevilles)</span><p class="small">(해요체, registre informel poli)</p>

[sound:시계.mp3]	시계<span class="small light">를 차다</span>	montre <span class="small light">/ porter</span><hr/>réveil
[sound:팔찌.mp3]	팔찌<span class="small light">를 차다</span>	bracelet <span class="small light">/ porter</span><p class="small">(팔: bras)</p>
[sound:수갑.mp3]	수갑<span class="small light">을 차다</span>	menottes <span class="small light">/ porter</span>
[sound:허리띠_벨트.mp3]	허리띠<span class="small light">를 차다</span><hr/>벨트 <span class="small light">/ 안전 벨트</span>	ceinture <span class="small light">/ porter</span><p class="small light">/ ceinture de sécurité</p><p class="small">(허리: hanche ; angl. “belt” ; 옷: vêtement)</p><ul><li>표현 (expression)<br><br>&mdash;&nbsp;안전 벨트를 매다<br>&mdash;&nbsp;<span style="font-style: italic">attacher une ceinture de sécurité</span></li></ul>


[sound:걸다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">걸다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div></div><ul><li>목걸이를 걸다</li><li>귀걸이를 걸다</li></ul>	pendre, suspendre<ul><li>verbe irrégulier en “ㄹ”&nbsp;: ㄹ disparaît devant ㄴ / ㅂ / ㅅ</li><br><li>un collier (목걸이)</li><li>des boucles d'oreille (귀걸이)</li></ul>
[sound:겁니다.mp3]	<span class="불규칙">겁</span>니다 <span class="발음">[<span style="font-weight: bold">검</span>니다]</span><hr/><span class="불규칙">거</span>십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">걸다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">거십니다</div>겁니다</div><div class="해요체"><div class="높임">거세요</div>걸어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">거셨습니다</div>걸었습니다</div><div class="해요체"><div class="높임">거셨어요</div>걸었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">거실 겁니다</div>걸 겁니다</div><div class="해요체"><div class="높임">거실 거예요</div>걸 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">거시고</div>걸고</div><div class="지만"><div class="높임">거시지만</div>걸지만</div><div class="는데"><div class="높임">거시는데</div>거는데</div><div class="면"><div class="높임">거시면</div>걸면</div><div class="서"><div class="높임">거셔서</div>걸어서</div></div></div>	il pend, il suspend<p class="small">(하십시오체, registre formel poli)</p>
[sound:걸어요_거세요.mp3]	걸어요 <span class="발음">[거러요]</span><hr/><span class="불규칙">거</span>세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">걸다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">거십니다</div>겁니다</div><div class="해요체"><div class="높임">거세요</div>걸어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">거셨습니다</div>걸었습니다</div><div class="해요체"><div class="높임">거셨어요</div>걸었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">거실 겁니다</div>걸 겁니다</div><div class="해요체"><div class="높임">거실 거예요</div>걸 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">거시고</div>걸고</div><div class="지만"><div class="높임">거시지만</div>걸지만</div><div class="는데"><div class="높임">거시는데</div>거는데</div><div class="면"><div class="높임">거시면</div>걸면</div><div class="서"><div class="높임">거셔서</div>걸어서</div></div></div>	il pend, il suspend<p class="small">(해요체, registre informel poli)</p><ul><li>Homographe&nbsp;: 걸어요 / 걸으세요 (il marche)</li><li>Attention à ne pas confondre [거러] avec [걸려]&nbsp;: 걸려요 (il prend le temps)</li></ul>
[sound:걸었어요_거셨어요.mp3]	걸었어요 <span class="발음">[거러써요]</span><hr/><span class="불규칙">거</span>셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">걸다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">거십니다</div>겁니다</div><div class="해요체"><div class="높임">거세요</div>걸어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">거셨습니다</div>걸었습니다</div><div class="해요체"><div class="높임">거셨어요</div>걸었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">거실 겁니다</div>걸 겁니다</div><div class="해요체"><div class="높임">거실 거예요</div>걸 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">거시고</div>걸고</div><div class="지만"><div class="높임">거시지만</div>걸지만</div><div class="는데"><div class="높임">거시는데</div>거는데</div><div class="면"><div class="높임">거시면</div>걸면</div><div class="서"><div class="높임">거셔서</div>걸어서</div></div></div>	il pendait, il suspendait<p class="small">(해요체, registre informel poli)</p><ul><li>Homographe&nbsp;: 걸었어요 / 걸으셨어요 (il marchait)</li><li>Attention à ne pas confondre [거러] avec [걸려]&nbsp;: 걸렸어요 (il prenait le temps)</li></ul>
[sound:걸_거예요.mp3]	걸 거예요<hr/><span class="불규칙">거</span>실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">걸다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">거십니다</div>겁니다</div><div class="해요체"><div class="높임">거세요</div>걸어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">거셨습니다</div>걸었습니다</div><div class="해요체"><div class="높임">거셨어요</div>걸었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">거실 겁니다</div>걸 겁니다</div><div class="해요체"><div class="높임">거실 거예요</div>걸 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">거시고</div>걸고</div><div class="지만"><div class="높임">거시지만</div>걸지만</div><div class="는데"><div class="높임">거시는데</div>거는데</div><div class="면"><div class="높임">거시면</div>걸면</div><div class="서"><div class="높임">거셔서</div>걸어서</div></div></div>	il pendra, il suspendra<p class="small">(해요체, registre informel poli)</p>

[sound:목걸이.mp3]	목걸이<span class="small light">를 걸다</span> <span class="발음">[목꺼리]</span>	collier <span class="small light">/ porter</span><p class="small">(목: cou, 걸다: suspendre)</p>
[sound:귀걸이.mp3]	귀걸이<span class="small light">를 걸다</span> <span class="발음">[귀거리]</span>	boucles d'oreille <span class="small light">/ porter</span><p class="small">(귀: oreille, 걸다: suspendre)</p>
[sound:목도리.mp3]	목도리<span class="small light">를 하다</span> <span class="발음">[목또리]</span><hr/>스카프	écharpe <span class="small light">/ porter</span><p class="small">(목: cou ; angl. “scarf” ; 옷: vêtement)</p>


[sound:매다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">매다</div><div class="불규칙">(동사)</div></div></div><p class="small">(&ne;&nbsp;풀다)</p><ul><li>넥타이를 매다</li><li>안전 벨트를 매다</li></ul>	attacher, lier, nouer<p class="small">(&ne;&nbsp;détacher, délier, dénouer)</p><ul><li>verbe régulier</li><br><li>une cravate (넥타이)</li><li>une ceinture de sécurité (안전 벨트)</li><br><li>Attention à ne pas confondre avec 메다 qui signifie “porter” (au sens anglais de “to carry”) et qui s'utilise pour un sac porté collé au corps&nbsp;: sac-à-dos (배낭), sac à bandoulière</li></ul>
[sound:맵니다.mp3]	맵니다 <span class="발음">[<span style="font-weight: bold">맴</span>니다]</span><hr/>매십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">매다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">매십니다</div>맵니다</div><div class="해요체"><div class="높임">매세요</div>매요</div></div><div class="과거"><div class="하십시오체"><div class="높임">매셨습니다</div>맸습니다</div><div class="해요체"><div class="높임">매셨어요</div>맸어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">매실 겁니다</div>맬 겁니다</div><div class="해요체"><div class="높임">매실 거예요</div>맬 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">매시고</div>매고</div><div class="지만"><div class="높임">매시지만</div>매지만</div><div class="는데"><div class="높임">매시는데</div>매는데</div><div class="면"><div class="높임">매시면</div>매면</div><div class="서"><div class="높임">매셔서</div>매서</div></div></div>	il attache, il lie, il noue<p class="small">(하십시오체, registre formel poli)</p>
[sound:매요.mp3]	<span class="불규칙">매</span>요<p class="small">(*<span class="불규칙">매어</span>요)</p><hr/>매세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">매다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">매십니다</div>맵니다</div><div class="해요체"><div class="높임">매세요</div>매요</div></div><div class="과거"><div class="하십시오체"><div class="높임">매셨습니다</div>맸습니다</div><div class="해요체"><div class="높임">매셨어요</div>맸어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">매실 겁니다</div>맬 겁니다</div><div class="해요체"><div class="높임">매실 거예요</div>맬 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">매시고</div>매고</div><div class="지만"><div class="높임">매시지만</div>매지만</div><div class="는데"><div class="높임">매시는데</div>매는데</div><div class="면"><div class="높임">매시면</div>매면</div><div class="서"><div class="높임">매셔서</div>매서</div></div></div>	il attache, il lie, il noue<p class="small">(해요체, registre informel poli)</p>
[sound:맸어요.mp3]	<span class="불규칙">맸</span>어요 <span class="발음">[매써요]</span><p class="small">(*<span class="불규칙">매었</span>어요)</p><hr/>매셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">매다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">매십니다</div>맵니다</div><div class="해요체"><div class="높임">매세요</div>매요</div></div><div class="과거"><div class="하십시오체"><div class="높임">매셨습니다</div>맸습니다</div><div class="해요체"><div class="높임">매셨어요</div>맸어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">매실 겁니다</div>맬 겁니다</div><div class="해요체"><div class="높임">매실 거예요</div>맬 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">매시고</div>매고</div><div class="지만"><div class="높임">매시지만</div>매지만</div><div class="는데"><div class="높임">매시는데</div>매는데</div><div class="면"><div class="높임">매시면</div>매면</div><div class="서"><div class="높임">매셔서</div>매서</div></div></div>	il attachait, il liait, il nouait<p class="small">(해요체, registre informel poli)</p>
[sound:맬_거예요.mp3]	맬 거예요<hr/>매실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">매다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">매십니다</div>맵니다</div><div class="해요체"><div class="높임">매세요</div>매요</div></div><div class="과거"><div class="하십시오체"><div class="높임">매셨습니다</div>맸습니다</div><div class="해요체"><div class="높임">매셨어요</div>맸어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">매실 겁니다</div>맬 겁니다</div><div class="해요체"><div class="높임">매실 거예요</div>맬 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">매시고</div>매고</div><div class="지만"><div class="높임">매시지만</div>매지만</div><div class="는데"><div class="높임">매시는데</div>매는데</div><div class="면"><div class="높임">매시면</div>매면</div><div class="서"><div class="높임">매셔서</div>매서</div></div></div>	il attachera, il liera, il nouera<p class="small">(해요체, registre informel poli)</p>

[sound:넥타이.mp3]	넥타이<span class="small light">를 매다</span>	cravate <span class="small light">/ porter, nouer</span><p class="small">(angl. “necktie” ; 옷: vêtement)</p>


[sound:들다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">들다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div></div><ul><li>마음에 들다</li></ul><ul><li>(여행) 가방을 들다</li><li>숟가락을 들다</li><li>꽃을 들다</li></ul>	entrer <span class="small">(liquide, lumière)</span><p class="small">imprégner, infiltrer</p><hr/>tenir <span class="small">(particulièrement avec la main)</span><p class="small">saisir, empoigner</p><ul><li>verbe irrégulier en “ㄹ”&nbsp;: ㄹ disparaît devant ㄴ / ㅂ / ㅅ</li><br><li>aimer (litt. “entrer dans le cœur / l'esprit de qq'un”)</li><br><li>porter un sac, un bagage, <span class="em">un objet à la main</span>&nbsp;: un sac à main (손가방 / 핸드백), un sac de voyage (여행 가방), une cuillère (숟가락), des fleurs (꽃)</li><li class="light">lorsque le sac est porté <span style="font-weight: bold">collé au corps</span> on utilise le verbe <span style="font-weight: bold">메다</span>&nbsp;: un sac-à-dos (배낭), un sac à bandoulière</li><li class="light">attention à ne pas confondre 메다 qui signifie “porter” (au sens anglais de “to carry”) avec 매다 qui signifie “attacher, nouer” (utilisé pour une cravate par ex.)</li></ul>
[sound:듭니다.mp3]	<span class="불규칙">듭</span>니다 <span class="발음">[<span style="font-weight: bold">듬</span>니다]</span><hr/><span class="불규칙">드</span>십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">들다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">드십니다</div>듭니다</div><div class="해요체"><div class="높임">드세요</div>들어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">드셨습니다</div>들었습니다</div><div class="해요체"><div class="높임">드셨어요</div>들었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">드실 겁니다</div>들 겁니다</div><div class="해요체"><div class="높임">드실 거예요</div>들 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">드시고</div>들고</div><div class="지만"><div class="높임">드시지만</div>들지만</div><div class="는데"><div class="높임">드시는데</div>드는데</div><div class="면"><div class="높임">드시면</div>들면</div><div class="서"><div class="높임">드셔서</div>들어서</div></div></div>	il entre, il imprègne, il infiltre<hr/>il tient <span class="small">(à la main)</span>, il saisit<p class="small">(하십시오체, registre formel poli)</p>
[sound:들어요_드세요.mp3]	들어요 <span class="발음">[드러요]</span><hr/><span class="불규칙">드</span>세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">들다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">드십니다</div>듭니다</div><div class="해요체"><div class="높임">드세요</div>들어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">드셨습니다</div>들었습니다</div><div class="해요체"><div class="높임">드셨어요</div>들었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">드실 겁니다</div>들 겁니다</div><div class="해요체"><div class="높임">드실 거예요</div>들 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">드시고</div>들고</div><div class="지만"><div class="높임">드시지만</div>들지만</div><div class="는데"><div class="높임">드시는데</div>드는데</div><div class="면"><div class="높임">드시면</div>들면</div><div class="서"><div class="높임">드셔서</div>들어서</div></div></div>	il entre, il imprègne, il infiltre<hr/>il tient <span class="small">(à la main)</span>, il saisit<p class="small">(해요체, registre informel poli)</p><ul><li>Homographe&nbsp;: 들어요 / 들으세요 (il entend, il écoute)</li></ul>
[sound:들었어요_드셨어요.mp3]	들었어요 <span class="발음">[드러써요]</span><hr/><span class="불규칙">드</span>셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">들다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">드십니다</div>듭니다</div><div class="해요체"><div class="높임">드세요</div>들어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">드셨습니다</div>들었습니다</div><div class="해요체"><div class="높임">드셨어요</div>들었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">드실 겁니다</div>들 겁니다</div><div class="해요체"><div class="높임">드실 거예요</div>들 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">드시고</div>들고</div><div class="지만"><div class="높임">드시지만</div>들지만</div><div class="는데"><div class="높임">드시는데</div>드는데</div><div class="면"><div class="높임">드시면</div>들면</div><div class="서"><div class="높임">드셔서</div>들어서</div></div></div>	il entrait, il imprégnait, il infiltrait<hr/>il tenait <span class="small">(à la main)</span>, il saisissait<p class="small">(해요체, registre informel poli)</p><ul><li>Homographe&nbsp;: 들었어요 / 들으셨어요 (il entendait, il écoutait)</li></ul>
[sound:들_거예요.mp3]	들 거예요<hr/><span class="불규칙">드</span>실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">들다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">드십니다</div>듭니다</div><div class="해요체"><div class="높임">드세요</div>들어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">드셨습니다</div>들었습니다</div><div class="해요체"><div class="높임">드셨어요</div>들었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">드실 겁니다</div>들 겁니다</div><div class="해요체"><div class="높임">드실 거예요</div>들 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">드시고</div>들고</div><div class="지만"><div class="높임">드시지만</div>들지만</div><div class="는데"><div class="높임">드시는데</div>드는데</div><div class="면"><div class="높임">드시면</div>들면</div><div class="서"><div class="높임">드셔서</div>들어서</div></div></div>	il entrera, il imprégnera, il infiltrera<hr/>il tiendra <span class="small">(à la main)</span>, il saisira<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre avec 들을 / 들으실 거예요 (il entendra, il écoutera)</li></ul>

[sound:가방.mp3]	가방<span class="small light">을 들다 / 메다</span><p class="small light">/ 손가방 / 여행 가방</p><ul><li>(여행) 가방을 들다</li><li>배낭을 메다</li></ul>	sac<p class="small light">/ sac à main / sac de voyage</p><ul><li>lorsque le sac ou le bagage est porté <span class="em">à la main</span> on utilise le verbe <span class="em">들다</span>&nbsp;: un sac à main (손가방 / 핸드백), un sac de voyage (여행 가방)</li><li>lorsque le sac est porté <span class="em">collé au corps</span> on utilise le verbe <span class="em">메다</span>&nbsp;: un sac-à-dos (배낭), un sac à bandoulière</li><li>attention à ne pas confondre 메다 qui signifie “porter” (au sens anglais de “to carry”) avec 매다 qui signifie “attacher, nouer” (utilisé pour une cravate par ex.)</li></ul>
[sound:여행_가방.mp3]	여행 가방	sac de voyage<p class="small">(여행: voyage, 가방: sac)</p><hr/>valise


[sound:켤레.mp3]	켤레<p class="small">한 켤레 / 두 켤레 / 세 켤레 / &hellip;</p>	paires (vêtements)<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p><ul><li>신발 한 켤레 (1 paire de chaussures)</li><li>운동화 두 켤레 (2 paires de baskets)</li><li>부츠 한 켤레 (1 paire de bottes)</li><li>양말 네 켤레 (4 paires de chaussettes)</li><li>장갑 세 켤레 (3 paires de gants)</li></ul>

[sound:가게.mp3]	가게	magasin, boutique
[sound:옷가게.mp3]	옷가게	magasin de vêtements
[sound:구두_가게.mp3]	구두 가게	magasin de chaussures
[sound:점원.mp3]	점원 <span class="발음">[저뭔]</span> <span class="small light">/ 종업원</span>	vendeur <span class="small light">/ serveur</span>
[sound:어서_오세요.mp3]	어서 오세요	bienvenue
[sound:그저_그래요.mp3]	그저 그래요	comme ci comme ça, bof<p class="small">(pop. “c'est pas terrible”)</p>
[sound:너무.mp3]	너무	trop
[sound:새.mp3]	새	nouveau
[sound:유행.mp3]	유행	mode<p class="small">(angl. “fashion”)</p>
[sound:유행이다.mp3]	유행이다	être à la mode
[sound:사이즈.mp3]	사이즈	taille <span class="small">(de vêtements)</span><p class="small">(angl. “size”)</p><ul><li>표현 (expression)<br><br>&mdash;&nbsp;신발 사이즈가 얼마예요? &mdash;&nbsp;저는 프랑스에서 38을 신어요.<br>&mdash;&nbsp;<span style="font-style: italic">Quelle est ta pointure (de chaussure)&nbsp;?</span> &mdash;&nbsp;<span style="font-style: italic">En France je chausse du 38.</span><br><br>&mdash;&nbsp;제 옷 사이즈는 40이에요.<br>&mdash;&nbsp;<span style="font-style: italic">Ma taille de vêtements est le 40.</span></li></ul>
[sound:값_가격.mp3]	값 <span class="발음">[갑]</span><hr/>가격<p class="small">(sino-coréen)</p>	prix<ul><li>값 peut prendre le sens plus particulier de “valeur”</li><br><li>값 est le mot coréen natif&nbsp;; il n'y a pas d'espace entre 값 et son complément d'objet (자동차값, 음식값)</li><br><li>가격 est le mot sino-coréen&nbsp;; un espace est inséré entre 가격 et son complément d'objet (자동차&bbrk;가격, 음식&bbrk;가격)</li><br><li>표현 (expression)<br><br>&mdash;&nbsp;값이 얼마예요? &mdash;&nbsp;20,000원이에요.<br>&mdash;&nbsp;<span style="font-style: italic">Combien cela vaut-il / coûte-il&nbsp;?</span> &mdash;&nbsp;<span style="font-style: italic">C'est 20&nbsp;000 wons.</span></li></ul>

[sound:기차역.mp3]	기차역	gare<p class="small">(기차: train ; 역: station)</p>


