tags: darakwon 17-과

[sound:면접.mp3]	면접(시험)<p class="small light">/ 면접관 / 면접장</p>	entretien (d'embauche)<p class="small light">/ recruteur / salle d'entretien</p><ul><li>표현 (expression)<br><br>&mdash;&nbsp;면접(시험)을 보다<br>&mdash;&nbsp;<span style="font-style: italic">passer un entretien d'embauche</span></li></ul>
[sound:저는_일찍_일어나고_늦게_잡니다.mp3]	<ul>저는 일찍 일어나고 늦게 잡니다.</ul>	<ul>Je me lève tôt et me couche tard.</ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:시내까지_얼마나_걸려요.mp3]	<ul><li>시내까지 얼마나 걸려요?</li><li class="light">20분쯤 걸려요.</li></ul>	<ul><li>Combien de temps faut-il pour aller au centre-ville&nbsp;?</li><li class="light">Cela prend environ 20 minutes.</li></ul>
[sound:값이_얼마예요.mp3]	<ul><li>값이 얼마예요?</li><li class="light">20,000원이에요.</li></ul>	<ul><li>Combien cela vaut-il&nbsp;?</li><li class="light">C'est 20&nbsp;000 wons.</li></ul>
[sound:뭐에_관심이_많아요.mp3]	<ul><li>뭐에 관심이 많아요?</li><li class="light">외국어요.</li></ul>	<ul><li>Qu'est-ce qui vous intéresse&nbsp;?</li><li class="light">Les langues étrangères.</li></ul>
[sound:5시에_시작하세요.mp3]	<ul><li>5시에 시작하세요.</li><li class="light">알겠습니다.</li></ul>	<ul><li>Commencez à 5h.</li><li class="light">D'accord.</li></ul>
[sound:니콜라는_지금_어디에_있어요.mp3]	<ul><li>니콜라는 지금 어디에 있어요?</li><li class="light">극장에 있어요.</li></ul>	<ul><li>Où est Nicolas maintenant&nbsp;?</li><li class="light">Il est au cinéma.</li></ul>
[sound:기숙사를_청소했어요.mp3]	<ul><li>기숙사를 청소했어요?</li><li class="light">물론이죠.</li></ul>	<ul><li>As-tu nettoyé le dortoir&nbsp;?</li><li class="light">Bien sûr.</li></ul>
[sound:보통_기차가_빨라요.mp3]	<ul><li>보통 기차가 빨라요? 비행기가 빨라요?</li><li class="light">비행기가 빨라요.</li></ul>	<ul><li>Le train est-il généralement rapide&nbsp;? L'avion est-il rapide&nbsp;?</li><li class="light">L'avion est rapide.</li></ul>
[sound:언제_잡지를_읽었어요.mp3]	<ul><li>언제 잡지를 읽었어요?</li><li class="light">일주일 전에 다 읽었어요.</li></ul>	<ul><li>Quand as-tu lu le magazine&nbsp;?</li><li class="light">Je l'ai lu il y a une semaine.</li></ul>

[sound:저는_잠실에_2시까지_도착해야_돼요.mp3]	<ul><li><span class="light">(기사)</span> 어디까지 가세요?</li><li><span class="light">(손님)</span> 잠실요. 잠실까지 얼마나 걸려요?</li><li>글쎄요. 15분쯤 걸릴 거예요.</li><li>그래요? 저는 잠실에 2시까지 도착해야 돼요. 한국어 시험이 있어요.</li><li>알겠습니다.</li>&mdash;&nbsp;잠시 후&nbsp;&mdash;<li><span class="light">(기사)</span> 잠실에 도착했습니다.</li><li><span class="light">(손님)</span> 벌써요? 10분밖에 안 걸렸어요.</li><li>다행히 길이 많이 안 막혔어요.</li><li>감사합니다. 요금이 얼마예요?</li><li>7,000원입니다.</li></ul>	<ul><li><span class="light">(chauffeur)</span> Où allez-vous&nbsp;?</li><li><span class="light">(client)</span> À Jamsil. Combien de temps faut-il pour s'y rendre&nbsp;?</li><li>Je ne sais pas trop. Cela prendra environ un quart d'heure.</li><li>Vraiment&nbsp;? Je dois arriver à Jamsil avant 14h. J'ai un examen de coréen.</li><li>D'accord.</li>&mdash;&nbsp;<span style="font-style: italic">Après un certain temps</span>&nbsp;&mdash;<li><span class="light">(chauffeur)</span> Nous sommes arrivés à Jamsil.</li><li><span class="light">(client)</span> Déjà&nbsp;? Cela n'a pris que 10 minutes.</li><li>Heureusement, la route n'était pas très embouteillée.</li><li>Merci. Combien vous dois-je&nbsp;?</li><li>7,000 wons.</li></ul>
