tags: darakwon 10-과

[sound:경제학.mp3]	경제학	sciences économiques, économie
[sound:쉬어요.mp3]	쉬어요<div class="활용"><div class="bloc"><div class="부정사">쉬다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">쉬어요</div><div class="과거">쉬었어요</div><div class="명령법">쉬세요</div></div></div>	il se repose<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre [쉬어] avec [쉬워]&nbsp;: 쉬워요 (il est facile)</li></ul>
[sound:쉬었어요.mp3]	쉬었어요<div class="활용"><div class="bloc"><div class="부정사">쉬다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">쉬어요</div><div class="과거">쉬었어요</div><div class="명령법">쉬세요</div></div></div>	il se reposait<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre [쉬었] avec [쉬웠]&nbsp;: 쉬웠어요 (il était facile)</li></ul>

[sound:쉬워요.mp3]	쉬<span class="불규칙">워</span>요<p class="small">(*쉬<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">쉽다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">쉬워요</div><div class="과거">쉬웠어요</div></div></div>	il est facile<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre [쉬워] avec [쉬어]&nbsp;: 쉬어요 (il se repose)</li></ul>
[sound:쉬웠어요.mp3]	쉬<span class="불규칙">웠</span>어요<p class="small">(*쉬<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">쉽다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">쉬워요</div><div class="과거">쉬웠어요</div></div></div>	il était facile<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre [쉬웠] avec [쉬었]&nbsp;: 쉬었어요 (il se reposait)</li></ul>

[sound:시작해요.mp3]	시작해요 <span class="발음">[시자<span style="font-weight: bold">캐</span>요]</span><div class="활용"><div class="bloc"><div class="부정사">시작하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">시작해요</div><div class="과거">시작했어요</div><div class="명령법">시작하세요</div></div></div>	il commence<p class="small">(해요체, registre informel poli)</p>
[sound:시작했어요.mp3]	시작했어요<p class="발음">[시자<span style="font-weight: bold">캐</span>써요]</p><div class="활용"><div class="bloc"><div class="부정사">시작하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">시작해요</div><div class="과거">시작했어요</div><div class="명령법">시작하세요</div></div></div>	il commençait<p class="small">(해요체, registre informel poli)</p>

[sound:싸요.mp3]	<span class="불규칙">싸</span>요<p class="small">(*<span class="불규칙">싸아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">싸다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">싸요</div><div class="과거">쌌어요</div></div></div>	il n'est pas cher, il est bon marché<p class="small">(해요체, registre informel poli)</p>
[sound:쌌어요.mp3]	<span class="불규칙">쌌</span>어요<p class="small">(*<span class="불규칙">싸았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">싸다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">싸요</div><div class="과거">쌌어요</div></div></div>	il n'était pas cher, il était bon marché<p class="small">(해요체, registre informel poli)</p>

[sound:써요.mp3]	<span class="불규칙">써</span>요<p class="small">(*<span class="불규칙">ㅆ어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">쓰다</div><div class="불규칙">(“으” 불규칙 동사)</div></div><div class="bloc"><div class="현재">써요</div><div class="과거">썼어요</div><div class="명령법">쓰세요</div></div></div>	il écrit<p class="small">(해요체, registre informel poli)</p>
[sound:썼어요.mp3]	<span class="불규칙">썼</span>어요 <span class="발음">[써써요]</span><p class="small">(*<span class="불규칙">ㅆ었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">쓰다</div><div class="불규칙">(“으” 불규칙 동사)</div></div><div class="bloc"><div class="현재">써요</div><div class="과거">썼어요</div><div class="명령법">쓰세요</div></div></div>	il écrivait<p class="small">(해요체, registre informel poli)</p>

[sound:씻어요.mp3]	씻어요 <span class="발음">[씨서요]</span><div class="활용"><div class="bloc"><div class="부정사">씻다</div><div class="불규칙">(규칙 동사)</div></div><div class="bloc"><div class="현재">씻어요</div><div class="과거">씻었어요</div></div></div>	il se lave<p class="small">(해요체, registre informel poli)</p>
[sound:씻었어요.mp3]	씻었어요 <span class="발음">[씨서써요]</span><div class="활용"><div class="bloc"><div class="부정사">씻다</div><div class="불규칙">(규칙 동사)</div></div><div class="bloc"><div class="현재">씻어요</div><div class="과거">씻었어요</div></div></div>	il se lavait<p class="small">(해요체, registre informel poli)</p>

[sound:아르바이트해요.mp3]	아르바이트해요<div class="활용"><div class="bloc"><div class="부정사">아르바이트하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">아르바이트해요</div><div class="과거">아르바이트했어요</div></div></div>	il fait un petit boulot, il travaille à temps partiel<p class="small">(해요체, registre informel poli)</p>
[sound:아르바이트했어요.mp3]	아르바이트했어요<div class="활용"><div class="bloc"><div class="부정사">아르바이트하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">아르바이트해요</div><div class="과거">아르바이트했어요</div></div></div>	il faisait un petit boulot, il travaillait à temps partiel<p class="small">(해요체, registre informel poli)</p>

[sound:아름다워요.mp3]	아름다<span class="불규칙">워</span>요<p class="small">(*아름다<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">아름답다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">아름다워요</div><div class="과거">아름다웠어요</div></div></div>	il est beau<p class="small">(해요체, registre informel poli)</p>
[sound:아름다웠어요.mp3]	아름다<span class="불규칙">웠</span>어요<p class="small">(*아름다<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">아름답다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">아름다워요</div><div class="과거">아름다웠어요</div></div></div>	il était beau<p class="small">(해요체, registre informel poli)</p>

[sound:알아요.mp3]	알아요 <span class="발음">[아라요]</span><div class="활용"><div class="bloc"><div class="부정사">알다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">알아요</div><div class="과거">알았어요</div></div></div>	il sait, il connaît<p class="small">(해요체, registre informel poli)</p>
[sound:알았어요.mp3]	알았어요 <span class="발음">[아라써요]</span><div class="활용"><div class="bloc"><div class="부정사">알다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">알아요</div><div class="과거">알았어요</div></div></div>	il savait, il connaissait<p class="small">(해요체, registre informel poli)</p>

[sound:어때요.mp3]	어<span class="불규칙">때</span>요<div class="활용"><div class="bloc"><div class="부정사">어떻다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">어때요</div><div class="과거">어땠어요</div></div></div>	il est dans quel état&nbsp;? il est comment&nbsp;?<p class="small">(해요체, registre informel poli)</p>
[sound:어땠어요.mp3]	어<span class="불규칙">땠</span>어요<div class="활용"><div class="bloc"><div class="부정사">어떻다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">어때요</div><div class="과거">어땠어요</div></div></div>	il était dans quel état&nbsp;? il était comment&nbsp;?<p class="small">(해요체, registre informel poli)</p>

[sound:어려워요.mp3]	어려<span class="불규칙">워</span>요<p class="small">(*어려<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">어렵다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">어려워요</div><div class="과거">어려웠어요</div></div></div>	il est difficile, dur<p class="small">(해요체, registre informel poli)</p>
[sound:어려웠어요.mp3]	어려<span class="불규칙">웠</span>어요<p class="small">(*어려<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">어렵다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">어려워요</div><div class="과거">어려웠어요</div></div></div>	il était difficile, dur<p class="small">(해요체, registre informel poli)</p>

[sound:와요.mp3]	<span class="불규칙">와</span>요<p class="small">(*<span class="불규칙">오아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">오다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">와요</div><div class="과거">왔어요</div><div class="명령법">오세요</div></div></div>	il vient<p class="small">(해요체, registre informel poli)</p>
[sound:왔어요.mp3]	<span class="불규칙">왔</span>어요 <span class="발음">[와써요]</span><p class="small">(*<span class="불규칙">오았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">오다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">와요</div><div class="과거">왔어요</div><div class="명령법">오세요</div></div></div>	il venait<p class="small">(해요체, registre informel poli)</p>

[sound:완성해요.mp3]	완성해요<div class="활용"><div class="bloc"><div class="부정사">완성하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">완성해요</div><div class="과거">완성했어요</div><div class="명령법">완성하세요</div></div></div>	il achève, finit, termine<p class="small">(해요체, registre informel poli)</p>
[sound:완성했어요.mp3]	완성했어요<div class="활용"><div class="bloc"><div class="부정사">완성하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">완성해요</div><div class="과거">완성했어요</div><div class="명령법">완성하세요</div></div></div>	il achevait, finissait, terminait<p class="small">(해요체, registre informel poli)</p>

[sound:운동해요.mp3]	운동해요<div class="활용"><div class="bloc"><div class="부정사">운동하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">운동해요</div><div class="과거">운동했어요</div></div></div>	il fait du sport, il s'entraîne<p class="small">(해요체, registre informel poli)</p>
[sound:운동했어요.mp3]	운동했어요<div class="활용"><div class="bloc"><div class="부정사">운동하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">운동해요</div><div class="과거">운동했어요</div></div></div>	il faisait du sport, il s'entraînait<p class="small">(해요체, registre informel poli)</p>

[sound:운전해요.mp3]	운전해요<div class="활용"><div class="bloc"><div class="부정사">운전하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">운전해요</div><div class="과거">운전했어요</div></div></div>	il conduit <span class="small">(un véhicule)</span><p class="small">(해요체, registre informel poli)</p>
[sound:운전했어요.mp3]	운전했어요<div class="활용"><div class="bloc"><div class="부정사">운전하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">운전해요</div><div class="과거">운전했어요</div></div></div>	il conduisait <span class="small">(un véhicule)</span><p class="small">(해요체, registre informel poli)</p>

[sound:유명해요.mp3]	유명해요<div class="활용"><div class="bloc"><div class="부정사">유명하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">유명해요</div><div class="과거">유명했어요</div></div></div>	il est célèbre<p class="small">il est illustre, renommé, réputé</p><p class="small">(해요체, registre informel poli)</p>
[sound:유명했어요.mp3]	유명했어요<div class="활용"><div class="bloc"><div class="부정사">유명하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">유명해요</div><div class="과거">유명했어요</div></div></div>	il était célèbre<p class="small">il était illustre, renommé, réputé</p><p class="small">(해요체, registre informel poli)</p>

[sound:이야기해요.mp3]	이야기해요<div class="활용"><div class="bloc"><div class="부정사">이야기하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">이야기해요</div><div class="과거">이야기했어요</div></div></div>	il parle, il discute<p class="small">(해요체, registre informel poli)</p>
[sound:이야기했어요.mp3]	이야기했어요<div class="활용"><div class="bloc"><div class="부정사">이야기하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">이야기해요</div><div class="과거">이야기했어요</div></div></div>	il parlait, il discutait<p class="small">(해요체, registre informel poli)</p>

[sound:인사해요.mp3]	인사해요<div class="활용"><div class="bloc"><div class="부정사">인사하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">인사해요</div><div class="과거">인사했어요</div><div class="명령법">인사하세요</div></div></div>	il salue<p class="small">(해요체, registre informel poli)</p>
[sound:인사했어요.mp3]	인사했어요<div class="활용"><div class="bloc"><div class="부정사">인사하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">인사해요</div><div class="과거">인사했어요</div><div class="명령법">인사하세요</div></div></div>	il saluait<p class="small">(해요체, registre informel poli)</p>

[sound:인터넷해요.mp3]	인터넷해요<p class="발음">[인터네<span style="font-weight: bold">태</span>요]</p><div class="활용"><div class="bloc"><div class="부정사">인터넷하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">인터넷해요</div><div class="과거">인터넷했어요</div></div></div>	il surfe <span class="small">(sur internet)</span><p class="small">(해요체, registre informel poli)</p>
[sound:인터넷했어요.mp3]	인터넷했어요<p class="발음">[인터네<span style="font-weight: bold">태</span>써요]</p><div class="활용"><div class="bloc"><div class="부정사">인터넷하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">인터넷해요</div><div class="과거">인터넷했어요</div></div></div>	il surfait <span class="small">(sur internet)</span><p class="small">(해요체, registre informel poli)</p>

[sound:일어나요.mp3]	일어<span class="불규칙">나</span>요 <span class="발음">[이러나요]</span><p class="small">(*일어<span class="불규칙">나아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">일어나다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">일어나요</div><div class="과거">일어났어요</div><div class="명령법">일어나세요</div></div></div>	il se réveille<hr/>il se lève<p class="small">(해요체, registre informel poli)</p>
[sound:일어났어요.mp3]	일어<span class="불규칙">났</span>어요<p class="발음">[이러나써요]</p><p class="small">(*일어<span class="불규칙">나았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">일어나다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">일어나요</div><div class="과거">일어났어요</div><div class="명령법">일어나세요</div></div></div>	il se réveillait<hr/>il se levait<p class="small">(해요체, registre informel poli)</p>

[sound:일해요.mp3]	일해요<div class="활용"><div class="bloc"><div class="부정사">일하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">일해요</div><div class="과거">일했어요</div></div></div>	il travaille<p class="small">(해요체, registre informel poli)</p>
[sound:일했어요.mp3]	일했어요<div class="활용"><div class="bloc"><div class="부정사">일하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">일해요</div><div class="과거">일했어요</div></div></div>	il travaillait<p class="small">(해요체, registre informel poli)</p>

[sound:읽어요.mp3]	읽어요 <span class="발음">[일거요]</span><div class="활용"><div class="bloc"><div class="부정사">읽다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">읽어요</div><div class="과거">읽었어요</div><div class="명령법">읽으세요</div></div></div>	il lit<p class="small">(해요체, registre informel poli)</p>
[sound:읽었어요.mp3]	읽었어요 <span class="발음">[일거써요]</span><div class="활용"><div class="bloc"><div class="부정사">읽다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">읽어요</div><div class="과거">읽었어요</div><div class="명령법">읽으세요</div></div></div>	il lisait<p class="small">(해요체, registre informel poli)</p>

[sound:자요.mp3]	<span class="불규칙">자</span>요<p class="small">(*<span class="불규칙">자아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">자다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">자요</div><div class="과거">잤어요</div></div></div>	il dort<p class="small">(해요체, registre informel poli)</p>
[sound:잤어요.mp3]	<span class="불규칙">잤</span>어요 <span class="발음">[자써요]</span><p class="small">(*<span class="불규칙">자았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">자다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">자요</div><div class="과거">잤어요</div></div></div>	il dormait<p class="small">(해요체, registre informel poli)</p>

[sound:재미없어요.mp3]	재미없어요 <span class="발음">[재미업써요]</span><div class="활용"><div class="bloc"><div class="부정사">재미없다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">재미없어요</div><div class="과거">재미없었어요</div></div></div>	il est inintéressant<p class="small">(해요체, registre informel poli)</p>
[sound:재미있어요.mp3]	재미있어요<div class="활용"><div class="bloc"><div class="부정사">재미있다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">재미있어요</div><div class="과거">재미있었어요</div></div></div>	il est intéressant<p class="small">(해요체, registre informel poli)</p>
[sound:재미있었어요.mp3]	재미있었어요<div class="활용"><div class="bloc"><div class="부정사">재미있다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">재미있어요</div><div class="과거">재미있었어요</div></div></div>	il était intéressant<p class="small">(해요체, registre informel poli)</p>

[sound:전화해요.mp3]	전화해요<div class="활용"><div class="bloc"><div class="부정사">전화하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">전화해요</div><div class="과거">전화했어요</div></div></div>	il téléphone<p class="small">(해요체, registre informel poli)</p>
[sound:전화했어요.mp3]	전화했어요<div class="활용"><div class="bloc"><div class="부정사">전화하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">전화해요</div><div class="과거">전화했어요</div></div></div>	il téléphonait<p class="small">(해요체, registre informel poli)</p>

[sound:조깅해요.mp3]	조깅해요<div class="활용"><div class="bloc"><div class="부정사">조깅하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">조깅해요</div><div class="과거">조깅했어요</div></div></div>	il fait du jogging<p class="small">(해요체, registre informel poli)</p>
[sound:조깅했어요.mp3]	조깅했어요<div class="활용"><div class="bloc"><div class="부정사">조깅하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">조깅해요</div><div class="과거">조깅했어요</div></div></div>	il faisait du jogging<p class="small">(해요체, registre informel poli)</p>

[sound:좋아요.mp3]	좋아요 <span class="발음">[조아요]</span><div class="활용"><div class="bloc"><div class="부정사">좋다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">좋아요</div><div class="과거">좋았어요</div></div></div>	il est bien (bon)<hr/>(il est) d'accord<p class="small">(해요체, registre informel poli)</p>
[sound:좋았어요.mp3]	좋았어요 <span class="발음">[조아써요]</span><div class="활용"><div class="bloc"><div class="부정사">좋다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">좋아요</div><div class="과거">좋았어요</div></div></div>	il était bien (bon)<hr/>(il était) d'accord<p class="small">(해요체, registre informel poli)</p>

[sound:좋아해요.mp3]	좋아해요<div class="활용"><div class="bloc"><div class="부정사">좋아하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">좋아해요</div><div class="과거">좋아했어요</div></div></div>	il aime<p class="small">(해요체, registre informel poli)</p>
[sound:좋아했어요.mp3]	좋아했어요<div class="활용"><div class="bloc"><div class="부정사">좋아하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">좋아해요</div><div class="과거">좋아했어요</div></div></div>	il aimait<p class="small">(해요체, registre informel poli)</p>

[sound:죄송합니다.mp3]	죄송합니다<p class="발음">[죄송<span style="font-weight: bold">함</span>니다]</p><div class="활용"><div class="bloc"><div class="부정사">죄송하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">죄송합니다</div><div class="해요체">죄송해요</div></div><div class="과거">죄송했어요</div></div></div>	je suis désolé, navré&nbsp;; excusez-moi<p class="small">(하십시오체, registre formel poli)</p><ul><li>plus formel que 미안합니다</li></ul>
[sound:죄송해요.mp3]	죄송해요<div class="활용"><div class="bloc"><div class="부정사">죄송하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">죄송합니다</div><div class="해요체">죄송해요</div></div><div class="과거">죄송했어요</div></div></div>	je suis désolé, navré&nbsp;; excusez-moi<p class="small">(해요체, registre informel poli)</p><ul><li>plus formel que 미안해요</li></ul>
[sound:죄송했어요.mp3]	죄송했어요<div class="활용"><div class="bloc"><div class="부정사">죄송하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">죄송합니다</div><div class="해요체">죄송해요</div></div><div class="과거">죄송했어요</div></div></div>	il était désolé, navré&nbsp;; il s'excusait<p class="small">(해요체, registre informel poli)</p><ul><li>plus formel que 미안했어요</li></ul>

[sound:줘요.mp3]	<span class="불규칙">줘</span>요<p class="small">(*<span class="불규칙">주어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사"><div class="높임">&#x21a1; 드리다</div>주다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">줘요</div><div class="과거">줬어요</div><div class="명령법">주세요</div></div></div>	il donne<p class="small">(해요체, registre informel poli)</p>
[sound:줬어요.mp3]	<span class="불규칙">줬</span>어요 <span class="발음">[줘써요]</span><p class="small">(*<span class="불규칙">주었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사"><div class="높임">&#x21a1; 드리다</div>주다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">줘요</div><div class="과거">줬어요</div><div class="명령법">주세요</div></div></div>	il donnait<p class="small">(해요체, registre informel poli)</p>

[sound:주문해요.mp3]	주문해요<div class="활용"><div class="bloc"><div class="부정사">주문하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">주문해요</div><div class="과거">주문했어요</div></div></div>	il passe commande<p class="small">(해요체, registre informel poli)</p>
[sound:주문했어요.mp3]	주문했어요<div class="활용"><div class="bloc"><div class="부정사">주문하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">주문해요</div><div class="과거">주문했어요</div></div></div>	il passait commande<p class="small">(해요체, registre informel poli)</p>

[sound:지내요.mp3]	지<span class="불규칙">내</span>요<p class="small">(*지<span class="불규칙">내어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">지내다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">지내요</div><div class="과거">지냈어요</div></div></div>	il se porte, il va <span class="small">(santé)</span><p class="small">(해요체, registre informel poli)</p>
[sound:지냈어요.mp3]	지<span class="불규칙">냈</span>어요 <span class="발음">[지내써요]</span><p class="small">(*지<span class="불규칙">내었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">지내다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">지내요</div><div class="과거">지냈어요</div></div></div>	il se portait, il allait <span class="small">(santé)</span><p class="small">(해요체, registre informel poli)</p>

[sound:찾아요.mp3]	찾아요 <span class="발음">[차자요]</span><div class="활용"><div class="bloc"><div class="부정사">찾다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">찾아요</div><div class="과거">찾았어요</div><div class="명령법">찾으세요</div></div></div>	il cherche, il trouve<p class="small">(해요체, registre informel poli)</p>
[sound:찾았어요.mp3]	찾았어요 <span class="발음">[차자써요]</span><div class="활용"><div class="bloc"><div class="부정사">찾다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">찾아요</div><div class="과거">찾았어요</div><div class="명령법">찾으세요</div></div></div>	il cherchait, il trouvait<p class="small">(해요체, registre informel poli)</p>

[sound:채워요.mp3]	채<span class="불규칙">워</span>요<p class="small">(*채<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">채우다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">채워요</div><div class="과거">채웠어요</div><div class="명령법">채우세요</div></div></div>	il remplit, il complète<p class="small">(해요체, registre informel poli)</p>
[sound:채웠어요.mp3]	채<span class="불규칙">웠</span>어요 <span class="발음">[채워써요]</span><p class="small">(*채<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">채우다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">채워요</div><div class="과거">채웠어요</div><div class="명령법">채우세요</div></div></div>	il remplissait, il complétait<p class="small">(해요체, registre informel poli)</p>

[sound:청소하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">청소(를 )하다</div><div class="불규칙">(동사)</div></div></div>	nettoyer, faire le ménage<ul><li>verbe régulier</li></ul>
[sound:청소해요.mp3]	청소해요<div class="활용"><div class="bloc"><div class="부정사">청소하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">청소해요</div><div class="과거">청소했어요</div></div></div>	il nettoye, il fait le ménage<p class="small">(해요체, registre informel poli)</p>
[sound:청소했어요.mp3]	청소했어요<div class="활용"><div class="bloc"><div class="부정사">청소하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">청소해요</div><div class="과거">청소했어요</div></div></div>	il nettoyait, il faisait le ménage<p class="small">(해요체, registre informel poli)</p>

[sound:축하해요.mp3]	축하해요 <span class="발음">[추<span style="font-weight: bold">카</span>해요]</span><div class="활용"><div class="bloc"><div class="부정사">축하하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">축하해요</div><div class="과거">축하했어요</div></div></div>	il félicite, il congratule<hr>il fête, il célèbre<p class="small">(해요체, registre informel poli)</p>
[sound:축하했어요.mp3]	축하했어요<p class="발음">[추<span style="font-weight: bold">카</span>해써요]</p><div class="활용"><div class="bloc"><div class="부정사">축하하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">축하해요</div><div class="과거">축하했어요</div></div></div>	il félicitait, il congratulait<hr>il fêtait, il célébrait<p class="small">(해요체, registre informel poli)</p>

[sound:친절해요.mp3]	친절해요<div class="활용"><div class="bloc"><div class="부정사">친절하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">친절해요</div><div class="과거">친절했어요</div></div></div>	il est gentil<p class="small">il est amical, aimable</p><p class="small">(해요체, registre informel poli)</p>
[sound:친절했어요.mp3]	친절했어요<div class="활용"><div class="bloc"><div class="부정사">친절하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">친절해요</div><div class="과거">친절했어요</div></div></div>	il était gentil<p class="small">il était amical, aimable</p><p class="small">(해요체, registre informel poli)</p>

[sound:타다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">타다</div><div class="불규칙">(동사)</div></div></div><p class="small">(&ne;&nbsp;내리다)</p>	monter <span class="small">(dans un véhicule)</span><p class="small">(&ne;&nbsp;descendre)</p><hr/>prendre<p class="small">(un moyen de transport)</p><ul><li>verbe régulier</li></ul>
[sound:자전거를_타다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">자전거(를) 타다</div><div class="불규칙">(동사)</div></div></div>	faire du vélo<ul><li>verbe régulier</li></ul>
[sound:지하철을_타다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">지하철(을) / 전철(을) 타다</div><div class="불규칙">(동사)</div></div></div>	prendre le métro<ul><li>verbe régulier</li></ul>
[sound:타요.mp3]	<span class="불규칙">타</span>요<p class="small">(*<span class="불규칙">타아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">타다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">타요</div><div class="과거">탔어요</div><div class="명령법">타세요</div></div></div>	il monte<p class="small">(dans un véhicule)</p><hr/>il prend <p class="small">(un moyen de transport)</p><p class="small">(해요체, registre informel poli)</p>
[sound:탔어요.mp3]	<span class="불규칙">탔</span>어요 <span class="발음">[타써요]</span><p class="small">(*<span class="불규칙">타았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">타다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">타요</div><div class="과거">탔어요</div><div class="명령법">타세요</div></div></div>	il montait<p class="small">(dans un véhicule)</p><hr/>il prenait <p class="small">(un moyen de transport)</p><p class="small">(해요체, registre informel poli)</p>

